"","Prot","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"2763","LCLAT1",2.40725930964844,14.2352512492897,13.9648800182642,1.97870213732228e-15,1.37228812935469e-13,24.9858462248374
"1238","SEPTIN6",-0.9645000115641,18.1561587737121,-13.9739632445913,1.94245359561163e-15,1.37228812935469e-13,24.9596314059349
"911","PGRMC2",-2.1606523972342,15.4610051897892,-13.7990072522967,2.77765950447802e-15,1.8713488890169e-13,24.5808604648524
"428","RAD23B",1.60688741302456,18.1913809997393,13.7703949562144,2.94588104867789e-15,1.92955208688402e-13,24.5518216663168
"1565","DHRS7B",-0.83484435448422,17.6779218923645,-13.7456318591407,3.09989204962341e-15,1.97555282513838e-13,24.4783492863415
"1163","ITIH3",2.73777856746186,16.2610441984854,13.7075364862921,3.35311736418853e-15,2.08069756440962e-13,24.4041611659487
"1342","GPD2",-1.86999332302838,15.48382246921,-13.6670503049079,3.64556631496246e-15,2.20416547966192e-13,24.344935028697
"341","RPL6",1.15791671235576,18.9856936996058,13.4422591882607,5.81832910280024e-15,3.42990500610074e-13,23.8234163872871
"1117","H4C11",-1.6201376997795,16.135007259723,-13.4065468545031,6.27008164705656e-15,3.60606159116082e-13,23.770533005102
"841","PSME1",2.33678817842894,16.5254071626877,13.3339077624762,7.30321915926568e-15,4.1002358994163e-13,23.5937493269816
"1917","SMARCC2",2.06564669721322,14.818011042906,13.3102471980705,7.67618104784379e-15,4.20940346763155e-13,23.544526075457
"1265","RAB5A",-2.27401972605576,16.1200881034415,-13.2641456892673,8.45997105303767e-15,4.53377539615065e-13,23.4440558514297
"167","CANX",0.829379339438794,19.9170036064363,13.2188117520531,9.31084166289628e-15,4.87888103135765e-13,23.3694406866041
"2696","PSMG1",-2.10603342803132,12.5469162683253,-13.1220965969758,1.14317280278318e-14,5.86000319339723e-13,23.212034900203
"483","RAB1A",-0.829814413783948,17.370940889956,-13.0698748980154,1.27768079152975e-14,6.41015171580245e-13,23.025726041015
"207","CLIC4",-1.12483060848251,19.4158165481002,-12.8387460096626,2.0981653151647e-14,1.03072371107466e-12,22.5180443942023
"2347","MICOS13",1.21829085535782,19.7092224140452,12.7547286059494,2.51650566793983e-14,1.21100415612288e-12,22.3309093352572
"876","ATP1B3",-1.78061202078081,16.9395297727752,-12.6996891880703,2.83604539642029e-14,1.33077599923551e-12,22.2282229864153
"543","PSMC6",-0.791715338775363,17.3040272321887,-12.6928958978852,2.87826870063659e-14,1.33077599923551e-12,22.2182187178854
"2112","STX16",3.34433110985007,13.0973096063084,12.6133642040604,3.42328327368499e-14,1.46765490169986e-12,22.1443384062233
"2751","SRSF6",3.19208099091765,13.8673609084814,12.6330403702641,3.27930084188882e-14,1.43196136762478e-12,22.1440988467424
"304","YWHAG",-1.34451679004587,18.688591913866,-12.6661489172392,3.05087010504811e-14,1.38345225148143e-12,22.1416497190228
"1911","',MAOB
""1927",11.4675132504468,10.9402375444272,12.6384985970515,3.24046938522536e-14,1.43196136762478e-12,22.1352059817998
"1220","COX5A",1.87107930532148,17.3330543547273,12.4375411676675,5.03576238433402e-14,2.12041566111779e-12,21.6432791438804
"164","G6PD",1.23962844571074,18.8798978126351,12.2084642647605,8.37172835601277e-14,3.46325183569791e-12,21.1167038271393
"741","FIS1",-1.73712857195825,16.9600806944186,-12.1727104024205,9.06801612722349e-14,3.68661759103328e-12,21.0278563260917
"2318","UBA3",0.986701655620959,16.924876872894,12.1517490624078,9.50352669730876e-14,3.79818914444984e-12,21.0250279734143
"189","YWHAB",-0.976299155245539,18.9221442341998,-12.121898867022,1.01609823376624e-13,3.99326605870133e-12,20.9275607134877
"1850","ALB",1.72047862162957,15.9881681091607,12.0659707908313,1.15210092589959e-13,4.45353112011678e-12,20.8134315882361
"22","ACTB",-1.60025010893968,19.476859179671,-12.054957158856,1.18100810344162e-13,4.49164049663764e-12,20.8014663607297
"907","AIFM1",-1.45209461164425,15.5131712408441,-11.9705082789545,1.42884470331079e-13,5.34796160382038e-12,20.6307162705735
"3","MYH9",-0.590263157233882,22.2430603942572,-11.9230216986275,1.59099916017798e-13,5.86183753078075e-12,20.6238027734151
"2798","HBB",1.69412328640604,15.5768706818353,11.8775034803705,1.764130584833e-13,6.39972295236339e-12,20.3787122307938
"331","TXNDC5",-1.0712777178609,19.2212348683269,-11.8183004068077,2.01856036507275e-13,7.21176566794174e-12,20.2125228300892
"188","ZYX",-0.992233315943833,19.1906350881163,-11.7762617756866,2.22178074039301e-13,7.81934176992048e-12,20.1484212362988
"1775","RPL38",-4.20928970505843,16.2924204985274,-11.7387697471624,2.42066062597676e-13,8.39399670007823e-12,20.0718787933547
"85","TKT",1.01037493742234,19.4904273926998,11.7155281832834,2.55300763707145e-13,8.72462609886158e-12,19.9809981099326
"958","NES",1.59903790289962,15.9342704939007,11.6459428999324,2.99529519830945e-13,1.00898658251624e-11,19.8507185760268
"572","DPP3",-1.70598985222482,16.0997964900101,-11.5457644966696,3.77386744070588e-13,1.23594158683118e-11,19.6103164857271
"1299","DIAPH2",1.87676956869696,17.9586565792735,11.5572469022819,3.67500287843079e-13,1.2205150404704e-11,19.6033770191219
"2207","CSNK2B",-1.88932864129859,15.7923166158755,-11.4743197120752,4.45327953304756e-13,1.43847029300358e-11,19.4162691710182
"2061","ABCF2-H2BE1",9.70970770738836,9.63756171318092,11.2671107983785,7.22347211001762e-13,2.30174962640832e-11,19.0335940480197
"2695","SEC14L2",-1.83922439966179,13.7393284616044,-11.2593601159143,7.35611790126784e-13,2.31276346815861e-11,18.9484084700744
"232","ACO1",1.40710526024893,16.6996459783763,11.192270820822,8.6137110385745e-13,2.67251718802088e-11,18.7699264366902
"747","HNRNPH2",-0.864753422598301,15.8917647665403,-11.1734485033047,9.00459418898481e-13,2.7575107918995e-11,18.7351495001292
"970","AHSA1",2.33834360052292,14.0153422827291,11.123820915792,1.0124533740898e-12,3.06072443090224e-11,18.6414543481159
"439","RAB7A",0.665084028482893,18.3513867023467,11.0802014505305,1.12262244572796e-12,3.35081484433737e-11,18.5277191257285
"2872","NAA10",2.59241455436232,13.7754688358297,11.0429452211486,1.22639678155329e-12,3.57017729741068e-11,18.4952155410968
"502","SEC61A1",2.01048755940884,17.8619636894765,11.0682301149792,1.15495057385364e-12,3.40421681643361e-11,18.4665180201771
"2107","LNPK",-2.10338618265036,12.3334128167362,-11.0187254410568,1.29907267965786e-12,3.73562607150393e-11,18.3868687432508
"1270","TOMM40",2.64733984808053,14.7356849310164,10.9779594024938,1.43149457397586e-12,4.06682434389769e-11,18.2460959216641
"536","XPO1",1.68040261825482,15.7800208611194,10.8928265247386,1.75437009483742e-12,4.9247674805079e-11,18.0552117102821
"314","PPP1R12A",-1.45832556391242,16.4983241687098,-10.8444215533913,1.9702596299328e-12,5.46573200868416e-11,17.9233489033184
"707","PSMA7",1.3789154725556,17.081749772173,10.8320311282237,2.02976606896197e-12,5.5653353379213e-11,17.8918009140159
"281","AP2A2",1.5722103711262,16.4721323273621,10.8118959769958,2.1304139138073e-12,5.73356868538836e-11,17.8537559503109
"767","EIF4H",-1.10416308603587,17.4366434602587,-10.8097032521939,2.14167819405125e-12,5.73356868538836e-11,17.8396197299419
"469","ALDH9A1",1.13969602525363,17.5202530620207,10.805379289582,2.16406960559611e-12,5.73356868538836e-11,17.8262901135858
"1288","DDRGK1",-4.10642210695044,14.1438054775195,-10.774867997738,2.32902538377796e-12,6.02144741759102e-11,17.8238584835125
"567","PRKAR2A",-0.920957405021429,16.5558629156099,-10.7958730196888,2.21414246017943e-12,5.8010532456701e-11,17.7788417788617
"2213","SLC1A5",-2.29974983951719,15.6515395408444,-10.7712650479446,2.34933487030693e-12,6.02144741759102e-11,17.7309259191361
"58","HYOU1",-0.877208669073653,19.1682670420097,-10.7507551216738,2.46844544179235e-12,6.25870360402835e-11,17.6998653040115
"664","SDF4",-2.44834834882585,16.4922178176852,-10.7338051125686,2.57153085566009e-12,6.45071250813457e-11,17.6531637811738
"546","YWHAH",-1.19179410482063,17.7037783640577,-10.6970597071621,2.81038482160285e-12,6.97567095719948e-11,17.5510110191692
"1396","TBCE",-2.10876467071196,15.3880253955993,-10.683823708084,2.90187637421831e-12,7.12773384417371e-11,17.5198179545393
"255","ACTBL2",-3.52192142206275,17.9594651734453,-10.6736541435543,2.97423548505113e-12,7.23015182860882e-11,17.501923845066
"374","NUCB1",-1.12157579416407,17.6843739886864,-10.5367222371302,4.1491968957218e-12,9.93872650430511e-11,17.1723015860738
"1114","TSN",-1.9376962320367,15.620718145729,-10.5344028725719,4.17274776898306e-12,9.93872650430511e-11,17.1640228074091
"495","SF3B1",2.04749919710152,15.9501691457952,10.513665189498,4.38948497385545e-12,1.03504055683512e-10,17.1166335759424
"1561","GBP2",-1.60420475843728,14.515553736372,-10.5028332941774,4.50723204124422e-12,1.05228249042117e-10,17.0965518132506
"2513","SPATS2L",-2.12694112448896,14.8096253827254,-10.4286736470193,5.40499829901879e-12,1.24950843030258e-10,16.8827149014743
"985","MEST",1.96475297120632,14.1034407569516,10.3838944330696,6.03362176148668e-12,1.35907350168789e-10,16.8221006235038
"1425","COX4I1",1.9227505328018,15.2713417597433,10.3865364842298,5.9945377358733e-12,1.35907350168789e-10,16.7770690481428
